Date,Return,% of Return
19/08/2014,4.700024000000099,0.8073386793665119
18/08/2014,8.679992999999968,1.513558145700471
15/08/2014,-1.1699560000000702,-0.20359362102371448
14/08/2014,-0.1299949999998944,-0.022616377949099594
13/08/2014,12.050014999999917,2.141339565845119
12/08/2014,-5.149989000000005,-0.9068757247306238
11/08/2014,-0.890013999999951,-0.15647976973009434
08/08/2014,5.410039999999981,0.9603123672452265
07/08/2014,-3.014063999999962,-0.5321660638059957
06/08/2014,1.304051999999956,0.23077603574989453
05/08/2014,-8.080081999999948,-1.409760983749417
04/08/2014,7.0800859999999375,1.2507383042377604
01/08/2014,-5.530058999999937,-0.9674656968665282
31/07/2014,-15.820058000000017,-2.6931304061905035
30/07/2014,1.8100170000000162,0.3090809347345511
29/07/2014,-4.990064000000075,-0.8449104660963096
28/07/2014,1.5800160000000005,0.26824366038291836
25/07/2014,-4.3299899999999525,-0.729749811811322
24/07/2014,-2.6300149999999576,-0.4412905042009824
23/07/2014,1.2399729999999636,0.20848897731681224
22/07/2014,5.270067999999924,0.8940309689858336
21/07/2014,-5.610050999999999,-0.9427346884238754
18/07/2014,21.35011700000007,3.7212662800520637
17/07/2014,-8.930069000000003,-1.5326311083527708
16/07/2014,-2.1200109999999768,-0.36252973089613744
15/07/2014,-0.08996799999999894,-0.015382494554664623
14/07/2014,5.689981999999986,0.98241583188322
11/07/2014,8.080081999999948,1.4148215265495048
10/07/2014,-4.98002699999995,-0.8644640692925557
09/07/2014,4.9900030000000015,0.8737642745833789
08/07/2014,-11.160062000000039,-1.9167043755261708
07/07/2014,-2.4800070000000005,-0.4241266456648866
03/07/2014,2.394995999999992,0.4112727313565796
02/07/2014,-0.3349640000000136,-0.05748751291943545
01/07/2014,7.390018000000055,1.2845891606881044
30/06/2014,-1.9600259999999707,-0.33954976492449557
27/06/2014,1.2400339999999233,0.21528270954082107
26/06/2014,-2.6500290000000177,-0.45796543147811847
25/06/2014,14.030055000000061,2.484855493874953
24/06/2014,-0.33000700000002325,-0.05841322126259791
23/06/2014,8.59008700000004,1.5439730613615916
20/06/2014,1.4599969999999303,0.2631087466997117
19/06/2014,1.530014000000051,0.27648899295374446
18/06/2014,10.360015999999973,1.9078781184148272
17/06/2014,-1.2700229999999237,-0.2333389421854638
16/06/2014,-7.479987000000051,-1.3556534448994653
13/06/2014,0.4099989999999707,0.07436241204074519
12/06/2014,-7.490022999999951,-1.3402744088723917
11/06/2014,-1.710012000000006,-0.3050583070173788
10/06/2014,-1.5700410000000602,-0.27930581941854915
09/06/2014,5.790049000000067,1.0407533208607205
06/06/2014,2.43000399999994,0.4387060907627246
05/06/2014,9.240063000000077,1.6964751723763227
04/06/2014,-0.2800040000000763,-0.05138230745986242
03/06/2014,-8.990048000000002,-1.6229501238425286
02/06/2014,-5.960070999999971,-1.064502627190652
30/05/2014,-0.189975000000004,-0.0339191080720264
29/05/2014,-1.600029999999947,-0.28486374734608055
28/05/2014,-4.270011000000068,-0.7544821224640718
27/05/2014,13.250083000000018,2.397326444477116
23/05/2014,7.640033000000017,1.4016802797273582
22/05/2014,6.11999400000002,1.1355560931722126
21/05/2014,9.170046999999954,1.7309408131549713
20/05/2014,0.9100270000000137,0.17207254958691393
19/05/2014,8.230029000000059,1.5807755338881642
16/05/2014,0.650037999999995,0.12501155712362158
15/05/2014,-6.670088000000078,-1.2665066841087738
14/05/2014,-6.4400249999999915,-1.2080503404327965
13/05/2014,3.1700100000000475,0.5982026497625562
12/05/2014,11.190051999999923,2.157191750370299
09/05/2014,7.730062000000032,1.5127254423993246
08/05/2014,1.0399920000000407,0.20393506680271792
07/05/2014,-5.180009000000041,-1.005549087763772
06/05/2014,-12.67006200000003,-2.400485890827669
05/05/2014,-0.12001899999995658,-0.02273378135140799
02/05/2014,-3.420024000000012,-0.6436451166352539
01/05/2014,4.69004700000005,0.8905224878143473
30/04/2014,-1.0400220000000218,-0.1970849441449437
29/04/2014,10.55005099999994,2.040027627525516
28/04/2014,0.9700070000000096,0.1879194428561187
25/04/2014,-8.98001099999999,-1.7099494618581397
24/04/2014,-1.7800280000000157,-0.33780315085715235
23/04/2014,-7.870033999999919,-1.471550329070967
22/04/2014,6.190010999999913,1.1709702116414444
21/04/2014,-7.47998599999994,-1.3952532202802934
17/04/2014,-20.440090000000055,-3.6726917292514454
16/04/2014,20.10004600000002,3.7469156709755094
15/04/2014,3.920052000000055,0.7361290452552567
14/04/2014,1.919999999999959,0.36185287306431124
11/04/2014,-10.350041000000033,-1.9132996486587635
10/04/2014,-23.19012399999997,-4.110685094086949
09/04/2014,9.240061999999966,1.6651685806530685
08/04/2014,16.750039000000015,3.112508140258309
07/04/2014,-4.990003999999999,-0.9187283940202353
04/04/2014,-26.60011099999997,-4.6687947072854366
03/04/2014,2.7399970000000167,0.48324242704408193
02/04/2014,-0.15998400000000856,-0.028207785888434575
01/04/2014,10.19005500000003,1.8295436390690243
31/03/2014,-3.0200620000000526,-0.5393039459372201
28/03/2014,1.530014000000051,0.27396895230671453
27/03/2014,-6.957988,-1.2305863547698257
26/03/2014,-13.361680000000092,-2.308585088029474
25/03/2014,0.394636000000105,0.06823037208945494
24/03/2014,-12.542480000000069,-2.122498208387829
21/03/2014,-7.052953000000002,-1.1794570767541668
20/03/2014,-1.0439979999999878,-0.174282290380979
19/03/2014,-5.9989799999999605,-0.9915243410186373
18/03/2014,9.570409999999924,1.6072416242552061
17/03/2014,9.64036400000009,1.6456322182957437
14/03/2014,-8.12186100000008,-1.3674615139915942
